code,name,description,refreshed_at,from_date,to_date
ABBV,"AbbVie Inc. (ABBV) Prices, Dividends, Splits and Trading Volume","End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for AbbVie Inc. (ABBV). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (www.crsp.com/products/documentation/crsp-calculations)

This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.

This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: connect@quandl.com
",2018-03-27 21:46:10,2013-01-02,2018-03-27
ABC,"AmerisourceBergen Corp. (ABC) Prices, Dividends, Splits and Trading Volume","End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for AmerisourceBergen Corporation (Holding Co) (ABC). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (www.crsp.com/products/documentation/crsp-calculations)

This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.

This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: connect@quandl.com
",2018-03-27 21:46:10,1995-04-04,2018-03-27
ABCB,"Ameris Bancorp (ABCB) Prices, Dividends, Splits and Trading Volume","<p>End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for Ameris Bancorp (ABCB). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (<a href=""http://www.crsp.com/products/documentation/crsp-calculations"" rel=""nofollow"" target=""blank"">www.crsp.com/products/documentation/crsp-calculations</a>)</p>

<p>This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.</p>

<p>This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: <a href=""mailto:connect@quandl.com"" rel=""nofollow"" target=""blank"">connect@quandl.com</a>
</p>
",2018-03-27 21:45:54,1994-05-19,2018-03-27
ABCO,"Advisory Board Company (ABCO) Prices, Dividends, Splits and Trading Volume","<p>End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for The Advisory Board Company (ABCO). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (<a href=""http://www.crsp.com/products/documentation/crsp-calculations"" rel=""nofollow"" target=""blank"">www.crsp.com/products/documentation/crsp-calculations</a>)</p>

<p>This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.</p>

<p>This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: <a href=""mailto:connect@quandl.com"" rel=""nofollow"" target=""blank"">connect@quandl.com</a>
</p>
",2017-11-17 22:48:57,2001-11-13,2017-11-17
ABFS,"Arkansas Best Corporation (ABFS) Prices, Dividends, Splits and Trading Volume","<p>End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for Arkansas Best Corporation (ABFS). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (<a href=""http://www.crsp.com/products/documentation/crsp-calculations"" rel=""nofollow"" target=""blank"">www.crsp.com/products/documentation/crsp-calculations</a>)</p>

<p>This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.</p>

<p>This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: <a href=""mailto:connect@quandl.com"" rel=""nofollow"" target=""blank"">connect@quandl.com</a>
</p>
",2014-05-02 01:50:13,1992-05-13,2014-04-30
ABG,"Asbury Automotive Group Inc. (ABG) Prices, Dividends, Splits and Trading Volume","<p>End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for Asbury Automotive Group Inc (ABG). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (<a href=""http://www.crsp.com/products/documentation/crsp-calculations"" rel=""nofollow"" target=""blank"">www.crsp.com/products/documentation/crsp-calculations</a>)</p>

<p>This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.</p>

<p>This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: <a href=""mailto:connect@quandl.com"" rel=""nofollow"" target=""blank"">connect@quandl.com</a>
</p>
",2018-03-27 21:45:54,2002-03-21,2018-03-27
ABM,"ABM Industries Inc. (ABM) Prices, Dividends, Splits and Trading Volume","<p>End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for ABM Industries Incorporated (ABM). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (<a href=""http://www.crsp.com/products/documentation/crsp-calculations"" rel=""nofollow"" target=""blank"">www.crsp.com/products/documentation/crsp-calculations</a>)</p>

<p>This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.</p>

<p>This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: <a href=""mailto:connect@quandl.com"" rel=""nofollow"" target=""blank"">connect@quandl.com</a>
</p>
",2018-03-27 21:45:53,1984-07-19,2018-03-27
ABMD,"ABIOMED Inc. (ABMD) Prices, Dividends, Splits and Trading Volume","<p>End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for ABIOMED, Inc. (ABMD). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (<a href=""http://www.crsp.com/products/documentation/crsp-calculations"" rel=""nofollow"" target=""blank"">www.crsp.com/products/documentation/crsp-calculations</a>)</p>

<p>This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.</p>

<p>This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: <a href=""mailto:connect@quandl.com"" rel=""nofollow"" target=""blank"">connect@quandl.com</a>
</p>
",2018-03-27 21:45:53,1987-07-30,2018-03-27
ABT,"Abbott Laboratories (ABT) Prices, Dividends, Splits and Trading Volume","End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for Abbott Laboratories (ABT). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (www.crsp.com/products/documentation/crsp-calculations)

This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.

This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: connect@quandl.com
",2018-03-27 21:46:10,1983-04-06,2018-03-27
ACAD,"ACADIA Pharmaceuticals Inc. (ACAD) Prices, Dividends, Splits and Trading Volume","<p>End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for ACADIA Pharmaceuticals Inc. (ACAD). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (<a href=""http://www.crsp.com/products/documentation/crsp-calculations"" rel=""nofollow"" target=""blank"">www.crsp.com/products/documentation/crsp-calculations</a>)</p>

<p>This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.</p>

<p>This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: <a href=""mailto:connect@quandl.com"" rel=""nofollow"" target=""blank"">connect@quandl.com</a>
</p>
",2018-03-27 21:45:53,2004-05-27,2018-03-27
ACAS,"American Capital Ltd. (ACAS) Prices, Dividends, Splits and Trading Volume","<p>End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for American Capital, Ltd. (ACAS). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (<a href=""http://www.crsp.com/products/documentation/crsp-calculations"" rel=""nofollow"" target=""blank"">www.crsp.com/products/documentation/crsp-calculations</a>)</p>

<p>This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.</p>

<p>This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: <a href=""mailto:connect@quandl.com"" rel=""nofollow"" target=""blank"">connect@quandl.com</a>
</p>
",2017-04-26 12:41:12,1997-09-02,2017-01-03
ACAT,"Arctic Cat Inc (ACAT) Prices, Dividends, Splits and Trading Volume","<p>End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for Arctic Cat Inc. (ACAT). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (<a href=""http://www.crsp.com/products/documentation/crsp-calculations"" rel=""nofollow"" target=""blank"">www.crsp.com/products/documentation/crsp-calculations</a>)</p>

<p>This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.</p>

<p>This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: <a href=""mailto:connect@quandl.com"" rel=""nofollow"" target=""blank"">connect@quandl.com</a>
</p>
",2017-04-26 12:41:27,1990-06-27,2017-03-06
ACC,"American Campus Communities Inc (ACC) Prices, Dividends, Splits and Trading Volume","<p>End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for American Campus Communities Inc (ACC). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (<a href=""http://www.crsp.com/products/documentation/crsp-calculations"" rel=""nofollow"" target=""blank"">www.crsp.com/products/documentation/crsp-calculations</a>)</p>

<p>This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.</p>

<p>This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: <a href=""mailto:connect@quandl.com"" rel=""nofollow"" target=""blank"">connect@quandl.com</a>
</p>
",2018-03-27 21:46:07,2004-08-16,2018-03-27
ACCL,"Accelrys, Inc. (ACCL) Prices, Dividends, Splits and Trading Volume","<p>End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for Accelrys, Inc. (ACCL). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (<a href=""http://www.crsp.com/products/documentation/crsp-calculations"" rel=""nofollow"" target=""blank"">www.crsp.com/products/documentation/crsp-calculations</a>)</p>

<p>This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.</p>

<p>This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: <a href=""mailto:connect@quandl.com"" rel=""nofollow"" target=""blank"">connect@quandl.com</a>
</p>
",2014-04-30 00:22:23,1995-12-06,2014-04-29
ACCO,"ACCO Brands (ACCO) Prices, Dividends, Splits and Trading Volume","<p>End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for Acco Brands Corporation (ACCO). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (<a href=""http://www.crsp.com/products/documentation/crsp-calculations"" rel=""nofollow"" target=""blank"">www.crsp.com/products/documentation/crsp-calculations</a>)</p>

<p>This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.</p>

<p>This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: <a href=""mailto:connect@quandl.com"" rel=""nofollow"" target=""blank"">connect@quandl.com</a>
</p>
",2018-03-27 21:45:53,2005-08-17,2018-03-27
ACE,"ACE Ltd (ACE) Prices, Dividends, Splits and Trading Volume","End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for Ace Limited (ACE). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (www.crsp.com/products/documentation/crsp-calculations)

This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.

This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: connect@quandl.com
",2017-04-26 12:50:18,1993-03-26,2016-01-14
ACET,"Aceto Corp (ACET) Prices, Dividends, Splits and Trading Volume","<p>End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for Aceto Corporation (ACET). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (<a href=""http://www.crsp.com/products/documentation/crsp-calculations"" rel=""nofollow"" target=""blank"">www.crsp.com/products/documentation/crsp-calculations</a>)</p>

<p>This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.</p>

<p>This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: <a href=""mailto:connect@quandl.com"" rel=""nofollow"" target=""blank"">connect@quandl.com</a>
</p>
",2018-03-27 21:45:53,1990-03-26,2018-03-27
ACFN,"Acorn Energy Inc (ACFN) Prices, Dividends, Splits and Trading Volume","<p>End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for Acorn Energy, Inc. (ACFN). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (<a href=""http://www.crsp.com/products/documentation/crsp-calculations"" rel=""nofollow"" target=""blank"">www.crsp.com/products/documentation/crsp-calculations</a>)</p>

<p>This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.</p>

<p>This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: <a href=""mailto:connect@quandl.com"" rel=""nofollow"" target=""blank"">connect@quandl.com</a>
</p>
",2017-04-26 12:41:22,1992-02-11,2015-07-23
ACGL,"Arch Capital Group Ltd. (ACGL) Prices, Dividends, Splits and Trading Volume","<p>End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for Arch Capital Group Ltd. (ACGL). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (<a href=""http://www.crsp.com/products/documentation/crsp-calculations"" rel=""nofollow"" target=""blank"">www.crsp.com/products/documentation/crsp-calculations</a>)</p>

<p>This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.</p>

<p>This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: <a href=""mailto:connect@quandl.com"" rel=""nofollow"" target=""blank"">connect@quandl.com</a>
</p>
",2018-03-27 21:45:54,1995-09-14,2018-03-27
ACHC,"Acadia Healthcare Company Inc. (ACHC) Prices, Dividends, Splits and Trading Volume","<p>End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for Acadia Healthcare Company, Inc. (ACHC). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (<a href=""http://www.crsp.com/products/documentation/crsp-calculations"" rel=""nofollow"" target=""blank"">www.crsp.com/products/documentation/crsp-calculations</a>)</p>

<p>This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.</p>

<p>This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: <a href=""mailto:connect@quandl.com"" rel=""nofollow"" target=""blank"">connect@quandl.com</a>
</p>
",2018-03-27 21:45:53,1994-03-04,2018-03-27
ACHN,"Achillion Pharmaceuticals Inc. (ACHN) Prices, Dividends, Splits and Trading Volume","<p>End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for Achillion Pharmaceuticals, Inc. (ACHN). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (<a href=""http://www.crsp.com/products/documentation/crsp-calculations"" rel=""nofollow"" target=""blank"">www.crsp.com/products/documentation/crsp-calculations</a>)</p>

<p>This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.</p>

<p>This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: <a href=""mailto:connect@quandl.com"" rel=""nofollow"" target=""blank"">connect@quandl.com</a>
</p>
",2018-03-27 21:45:53,2006-11-09,2018-03-27
